Date,count,uniques
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,250,11
2025-12-30,17,1
2025-12-31,66,2
2026-01-01,0,0
2026-01-02,18,2
2026-01-03,6,1
2026-01-04,12,3
2026-01-05,1,1
2026-01-06,0,0
2026-01-07,2,2
2026-01-08,1,1
2026-01-09,1,1
2026-01-10,0,0
2026-01-11,4,1
2026-01-12,1,1
2026-01-13,0,0
2026-01-14,1,1
2026-01-15,1,1
2026-01-16,0,0
2026-01-17,3,3
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,0,0
